"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version"
2004,"California","CA",6,93,71,"US House",35,"gen",FALSE,"Gordon Michael Mego","american independent",FALSE,"total",3440,156407,FALSE,20171005
1994,"California","CA",6,93,71,"US House",32,"gen",FALSE,"Julian C. Dixon","democrat",FALSE,"total",98017,126306,FALSE,20171005
1982,"California","CA",6,93,71,"US House",16,"gen",FALSE,"Leon E. Panetta","democrat",FALSE,"total",142630,167078,FALSE,20171005
2016,"California","CA",6,93,71,"US House",1,"gen",FALSE,"Jim Reed","democrat",FALSE,"total",128588,314036,FALSE,20171005
2002,"California","CA",6,93,71,"US House",49,"gen",FALSE,"Karl W. Dietrich","libertarian",FALSE,"total",26891,122497,FALSE,20171005
2006,"California","CA",6,93,71,"US House",13,"gen",FALSE,"Fortney Pete Stark","democrat",FALSE,"total",110756,147897,FALSE,20171005
2014,"California","CA",6,93,71,"US House",34,"gen",FALSE,"Xavier Becerra","democrat",FALSE,"total",44697,61621,FALSE,20171005
1978,"California","CA",6,93,71,"US House",6,"gen",FALSE,"Phillip Burton","democrat",FALSE,"total",81801,119768,FALSE,20171005
1992,"California","CA",6,93,71,"US House",31,"gen",FALSE,"Reuben D. Franco","republican",FALSE,"total",40873,109197,FALSE,20171005
1992,"California","CA",6,93,71,"US House",34,"gen",FALSE,"","",TRUE,"total",1,149718,FALSE,20171005
1992,"California","CA",6,93,71,"US House",8,"gen",FALSE,"Marc Wolin","republican",FALSE,"total",25693,232691,FALSE,20171005
1982,"California","CA",6,93,71,"US House",22,"gen",FALSE,"Robert T. Gerringer","libertarian",FALSE,"total",5870,198222,FALSE,20171005
1976,"California","CA",6,93,71,"US House",7,"gen",FALSE,"George Miller","democrat",FALSE,"total",147064,196816,FALSE,20171005
1996,"California","CA",6,93,71,"US House",35,"gen",FALSE,"Gordon Michael Mego","american independent",FALSE,"total",2610,108488,FALSE,20171005
2008,"California","CA",6,93,71,"US House",33,"gen",FALSE,"David C. Crowley II","republican",FALSE,"total",26536,213460,FALSE,20171005
1978,"California","CA",6,93,71,"US House",37,"gen",FALSE,"Dan Corcoran","democrat",FALSE,"total",60463,173588,FALSE,20171005
1992,"California","CA",6,93,71,"US House",21,"gen",FALSE,"","",TRUE,"total",149,195965,FALSE,20171005
2004,"California","CA",6,93,71,"US House",17,"gen",FALSE,"Joel Smolen","libertarian",FALSE,"total",2607,223225,FALSE,20171005
1986,"California","CA",6,93,71,"US House",17,"gen",FALSE,"Charles ""Chip"" Pashayan","republican",FALSE,"total",88787,147469,FALSE,20171005
1982,"California","CA",6,93,71,"US House",3,"gen",FALSE,"Robert T. Matsui","democrat",FALSE,"total",194680,217196,FALSE,20171005
2000,"California","CA",6,93,71,"US House",10,"gen",FALSE,"Ellen O. Tauscher","democrat",FALSE,"total",160429,304819,FALSE,20171005
